7;2
42;2
0;2
36;2
32;2
16;2
121;2
15;2
15;2
135;2
66;3
22;3
52;3
0;3
0;3
0;3
0;3
48;3
29;3
20;3
0;4
134;4
0;4
29;4
72;4
0;4
60;4
0;4
68;4
53;4
1;5
33;5
16;5
45;5
0;5
97;5
74;5
119;5
0;5
60;5
2;6
62;6
90;6
22;6
23;6
2;6
95;6
4;6
18;6
34;6
20;7
152;7
267;7
80;7
17;7
83;7
57;7
154;7
188;7
34;7
149;8
165;8
675;8
291;8
164;8
173;8
317;8
150;8
911;8
138;8
5993;9
1549;9
1427;9
7410;9
1597;9
2770;9
1396;9
8635;9
2768;9
3288;9
34978;10
32678;10
63594;10
91784;10
17564;10
15797;10
17334;10
51959;10
33613;10
17048;10
474672;11
650162;11
432464;11
217373;11
466843;11
1009450;11
490850;11
649510;11
191477;11
1188348;11
6;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
5;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
0;2
26;2
20;2
116;2
6;2
4;2
98;2
11;2
29;2
158;2
31;2
74;2
25007;3
9033;2
16472;2
383937;3
4579;3
136;4
2833;5
110;2
102;2
31;3
171;4
803;5
134;2
50;2
0;2
94;2
0;2
33;2
62;2
31;2
47;2
0;2
6;3
0;3
0;3
0;3
0;3
49;3
0;3
15;3
62;3
48;3
105;4
0;4
0;4
46;4
15;4
46;4
0;4
46;4
0;4
15;4
109;4
64;4
16;4
31;4
15;4
0;4
47;4
65;4
15;4
100;4
284;5
952;5
379;5
3170;5
650;5
243;5
2474;5
60;2
0;2
71;2
0;2
31;2
0;2
64;2
58;2
0;2
34;2
33;2
19;2
45;2
15;2
30;2
0;2
68;2
61;2
0;2
0;2
82;2
49;2
17;2
0;2
31;2
110;2
35;2
33;2
50;2
0;2
54;2
0;2
39;2
0;2
31;2
17;2
15;2
49;2
35;2
0;2
31;2
74;2
35;2
0;2
0;2
84;2
0;2
59;2
49;2
19;2
246;2
0;2
0;2
16;2
16;2
17;2
21;2
26;2
28;2
18;2
2742;5
1904;5
566;5
1714;5
860;5
1893;5
1302;5
2913;5
1706;5
3009;5
2273;5
3181;5
822;5
1754;5
207;3
0;3
77;3
0;3
26;3
234;3
27;3
87;3
23;3
123;3
60;4
15;4
16;4
74;4
47;4
0;4
126;4
56;4
0;4
40;4
635;5
320;5
390;5
1014;5
875;5
3515;5
2502;5
2252;5
704;5
1164;5
3853;2
2316;2
141;2
1983;2
592;2
818;2
1138;2
5469;2
698;2
675;2
45;2
16;2
0;2
16;2
0;2
1;2
50;2
1;2
116;2
18;2
135;5
2527;5
2653;5
235;5
1227;5
146;5
1007;5
724;5
1937;5
3100;5
